tipo,data,hora,texto,caminho_midia
kwai_short,31/08/2026,07:00 AM,🚨 Pare de esperar a aprovação dos outros! O estoicismo ensina: o único controle que você tem é sobre a sua própria mente. Seja mestre de si mesmo! 🧠⚡ Siga @OEstoicoModerno para fortalecer sua mente diariamente. 🛡️🔥 #estoicismo #reflexao #motivacao #desenvolvimentopessoal #sabedoria #oestoicomoderno #mindset,/home/moises/work/allsocialmidia/output/package_20260822_211902/final_video_short.mp4
kwai_short,31/08/2026,12:00 PM,"💭 Preocupado com o amanhã? Marco Aurélio já dizia: ""Você tem poder sobre sua mente, não sobre os eventos externos."" Foque no AGORA! ⏳🧠 Siga o canal e domine suas emoções. ⚔️ #estoicismo #ansiedade #reflexaododia #marcoaurelio #motivacaodiaria #oestoicomoderno",/home/moises/work/allsocialmidia/output/batch_20260822_212247/package_20260822_212247/final_video_short.mp4
kwai_short,31/08/2026,06:00 PM,🚫 3 coisas que você DEVE ignorar hoje: 1. A opinião alheia. 2. O passado que não volta. 3. O futuro que você não controla. Proteja sua paz! 🧘‍♂️✨ Siga o perfil para mais sabedoria estoica. 🏛️ #filosofia #estoico #autoconhecimento #foconoobjetivo #motivacao #oestoicomoderno,/home/moises/work/allsocialmidia/output/batch_20260829_133737/package_20260829_133737/final_video_short.mp4
kwai_short,01/09/2026,07:00 AM,"⚡ Sêneca nos lembrou: ""Sofremos mais na imaginação do que na realidade."" Pare de criar problemas que ainda não existem! 🛑🧠 Curta e siga para transformar sua mentalidade hoje! 🔥 #seneca #estoicismo #pazinterior #superacao #frasesmotivacionais #oestoicomoderno",/home/moises/work/allsocialmidia/output/batch_20260829_102121/package_20260829_105832/final_video_short.mp4
kwai_short,01/09/2026,12:00 PM,"🔗 Se qualquer palavra te irrita, você entregou o controle da sua vida para outra pessoa. Torne-se inabalável com o estoicismo! 🛡️👊 Siga @OEstoicoModerno para mais pílulas de sabedoria! 🏛️ #controleemocional #inteligenciaemocional #estoicismo #filosofiadevida #oestoicomoderno",/home/moises/work/allsocialmidia/output/batch_20260829_102121/package_20260829_111519/final_video_short.mp4
kwai_short,01/09/2026,06:00 PM,"⚖️ Epicteto dizia que quem não domina a si mesmo não é livre. Dizer NÃO para os outros é dizer SIM para o seu propósito. 🎯✨ Comente ""LIBERDADE"" e siga nosso perfil para evoluir! 🚀 #epicteto #liberdade #foco #desenvolvimentopessoal #reflexao #oestoicomoderno",/home/moises/work/allsocialmidia/output/batch_20260829_102121/package_20260829_112000/final_video_short.mp4
kwai_short,02/09/2026,07:00 AM,"🌋 O obstáculo no seu caminho não veio para te parar, veio para te moldar! Use a dificuldade como combustível! 💪🔥 Salve este vídeo para rever quando precisar de força e siga o perfil! 🛡️ #resiliencia #superacao #motivacao #estoico #mindsetvencedor #oestoicomoderno",/home/moises/work/allsocialmidia/output/batch_20260829_102121/package_20260829_103349/final_video_short.mp4
kwai_short,02/09/2026,12:00 PM,🗣️ Reclamar muda alguma coisa? Não! Apenas gasta a energia que você deveria usar para construir o seu futuro. Mude a atitude agora! ⏳🔥 Siga @OEstoicoModerno e fortaleça seu espírito! 🏛️ #semdesculpas #disciplina #foco #estoicismo #reflexao #oestoicomoderno,/home/moises/work/allsocialmidia/output/batch_20260829_102121/package_20260829_110351/final_video_short.mp4
kwai_short,02/09/2026,06:00 PM,"⏳ Memento Mori: Lembrar da sua mortalidade não é triste, é libertador! O tempo está correndo, vai continuar perdendo tempo com bobagens? ⌛💥 Siga nosso perfil para mais pílulas estoicas. ⚔️ #mementomori #filosofia #valorizeotempo #vida #motivacao #oestoicomoderno",/home/moises/work/allsocialmidia/output/batch_20260829_102121/package_20260829_104543/final_video_short.mp4
kwai_short,03/09/2026,07:00 AM,"🌊 No meio do caos, seja como o rochedo onde as ondas se quebram continuamente. A sua calma é o seu maior poder! 🪨🧘‍♂️ Curta e siga @OEstoicoModerno para desenvolver resiliência! 🛡️ #pazmental #resiliencia #inteligenciaemocional #estoicismo #oestoicomoderno",/home/moises/work/allsocialmidia/output/batch_20260829_102121/package_20260829_112453/final_video_short.mp4
kwai_short,03/09/2026,12:00 PM,🤫 Pessoas sábias não entram em discussões desnecessárias. O silêncio é a sua melhor resposta. Economize sua energia vital! 💡🛡️ Siga o perfil para aprender a arte da quietude estoica! 🏛️ #silencio #sabedoria #estoicismo #relacionamentos #motivacao #oestoicomoderno,/home/moises/work/allsocialmidia/output/batch_20260829_102121/package_20260829_102121/final_video_short.mp4
kwai_short,03/09/2026,06:00 PM,"🌅 Marco Aurélio acordava lembrando a si mesmo do seu dever. A disciplina matinal constrói pessoas inabaláveis. ☀️🛡️ Comente ""DISCIPLINA"" e siga o perfil para evoluir diariamente! 🚀 #rotina #disciplina #sucesso #marcoaurelio #estoicismo #oestoicomoderno",/home/moises/work/allsocialmidia/output/batch_20260822_212315/package_20260822_215639/final_video_short.mp4
kwai_short,04/09/2026,07:00 AM,🧠 Preserve sua paz interior! Você não precisa ter uma opinião sobre tudo o que acontece ao seu redor. Não reagir é um superpoder! 🧘‍♂️⚡ Siga @OEstoicoModerno para mais dicas! 🏛️ #pazinterior #autoconhecimento #estoicismo #foco #oestoicomoderno,/home/moises/work/allsocialmidia/output/batch_20260822_212315/package_20260822_213313/final_video_short.mp4
kwai_short,04/09/2026,12:00 PM,❤️‍🔥 Amor Fati: Não deseje que as coisas sejam diferentes. Aceite os fatos e extraia força de cada acontecimento da sua vida! 👊🌋 Salve esse post e siga nosso canal para transformar sua mente! 🛡️ #amorfati #filosofia #aceitacao #superacao #motivacaodiaria #oestoicomoderno,/home/moises/work/allsocialmidia/output/batch_20260822_212315/package_20260822_220757/final_video_short.mp4
kwai_short,04/09/2026,06:00 PM,"💎 Sêneca ensinou: ""Rico não é quem tem muito, mas quem precisa de pouco."" A verdadeira riqueza é a liberdade mental! 🧠✨ Siga @OEstoicoModerno para mais reflexões transformadoras. 🏛️ #riqueza #minimalismo #seneca #sabedoria #estoicismo #oestoicomoderno",/home/moises/work/allsocialmidia/output/batch_20260822_212315/package_20260822_212315/final_video_short.mp4
